Beam,Thickness,Utilisation
518,10,0.462169
518,13.4,0.480465
518,8.6,0.511443
518,12.9,0.566517
518,12.4,0.612336
518,6.7,0.687723
518,18.1,0.698049
518,9.6,0.716038
518,9.1,0.731547
518,11,0.740277
518,7.2,0.764139
518,5.8,0.952717
575,11.9,0.462353
575,11,0.469929
575,15.7,0.499984
575,9.1,0.547154
575,8.1,0.559622
575,7.2,0.566815
575,9.6,0.585283
575,7.7,0.598157
575,5.3,0.606191
575,14.3,0.66338
575,12.4,0.806399
575,15.3,0.811099
575,4.8,0.82431
575,8.6,0.974088
636,8.6,0.402779
636,8.1,0.451291
636,7.7,0.456668
636,7.2,0.47412
636,6.7,0.498232
636,6.2,0.519549
636,5.8,0.638659
636,5.3,0.641155
636,4.8,0.749949
636,4.3,0.836937
636,3.9,0.938979
701,14.8,0.424216
701,9.1,0.439284
701,10.5,0.447558
701,6.7,0.462806
701,11.5,0.473671
701,7.2,0.488432
701,6.2,0.489527
701,18.1,0.504367
701,14.3,0.556798
701,4.8,0.627531
701,13.8,0.63194
701,10,0.632481
701,9.6,0.794477
701,5.3,0.851771
701,8.6,0.882438
701,11,0.933486
701,5.8,0.972725
701,7.7,0.977226
701,8.1,0.992356
770,5.8,0.400534
770,7.2,0.452388
770,8.6,0.496151
770,5.3,0.559515
770,6.7,0.565187
770,4.8,0.748493
770,4.3,0.764098
770,3.9,0.956684
843,9.1,0.400506
843,12.4,0.410215
843,11.5,0.445728
843,7.2,0.480347
843,10.5,0.504459
843,5.8,0.552214
843,3.9,0.629307
843,8.1,0.678455
843,7.7,0.706308
843,4.8,0.717091
843,6.2,0.806287
843,8.6,0.845646
843,9.6,0.906094
920,8.6,0.40681
920,13.4,0.420302
920,11,0.472461
920,10.5,0.502981
920,10,0.607633
920,7.7,0.617974
920,9.1,0.654953
920,7.2,0.705197
920,8.1,0.743352
920,6.7,0.812975
920,6.2,0.908985
1001,7.2,0.429843
1001,14.8,0.455422
1001,12.9,0.529456
1001,8.1,0.53215
1001,12.4,0.547534
1001,9.1,0.608417
1001,6.2,0.613561
1001,16.7,0.649077
1001,7.7,0.660056
1001,3.9,0.670847
1001,8.6,0.70987
1001,6.7,0.726779
1001,5.3,0.787255
1001,17.6,0.926109
1086,8.1,0.415586
1086,10,0.439712
1086,8.6,0.485718
1086,9.1,0.487178
1086,4.8,0.496908
1086,7.2,0.500221
1086,6.2,0.546765
1086,13.4,0.625714
1086,6.7,0.760198
1086,5.3,0.939771
1175,13.4,0.424576
1175,9.6,0.597279
1175,6.7,0.638356
1175,9.1,0.676886
1175,5.8,0.714873
1175,5.3,0.723048
1175,10.5,0.761245
1268,5.8,0.401846
1268,7.2,0.405976
1268,11.5,0.421766
1268,9.1,0.477057
1268,15.3,0.545664
1268,3.4,0.648072
1268,6.2,0.661919
1268,9.6,0.967044
1268,2.9,0.995806
